1   0.887967	0.71456
1   0.038301	0.963256
1   0.133396	0.022279
1   0.60799	0.895383
1   0.514481	0.72042
1   0.862026	0.90051
1   0.901517	0.283609
1   0.266549	0.606006
1   0.044679	0.413709
1   0.536302	0.75985
1   0.319407	0.554949
1   0.649098	0.265053
1   0.712668	0.498093
1   0.358379	0.170843
1   0.509873	0.947417
1   0.433576	0.445387
1   0.812494	0.660817
1   0.442183	0.366192
1   0.669942	0.909879
1   0.810572	0.269051
1   0.915494	0.325755
1   0.119175	0.100406
1   0.116245	0.996124
1   0.529466	0.874386
1   0.506851	0.049654
1   0.058229	0.519181
1   0.197851	0.401807
1   0.43498	0.955718
1   0.504257	0.138707
1   0.401715	0.222755
1   0.091067	0.383038
1   0.272866	0.950926
1   0.205847	0.883908
1   0.755455	0.0141
1   0.75219	0.913541
1   0.868679	0.255196
1   0.032807	0.918516
1   0.452315	0.315378
1   0.761284	0.216315
1   0.27015	0.37492
1   0.483566	0.079012
1   0.202216	0.833094
1   0.490432	0.250038
1   0.316416	0.611438
1   0.048799	0.971557
1   0.984222	0.914396
1   0.448408	0.087802
1   0.272347	0.451521
1   0.070101	0.768548
1   0.503433	0.698569
1   0.750389	0.604785
1   0.275643	0.050844
1   0.817438	0.361827
1   0.741081	0.330882
1   0.179205	0.333415
1   0.578875	0.95056
1   0.355876	0.060915
1   0.081851	0.011139
1   0.798853	0.194555
1   0.667562	0.690237
1   0.779962	0.978027
1   0.729667	0.135258
1   0.090945	0.081912
1   0.751335	0.871639
1   0.735649	0.749931
1   0.116001	0.110965
1   0.779382	0.520005
1   0.342204	0.513993
1   0.490005	0.149022
1   0.970885	0.371868
1   0.548418	0.901425
1   0.524461	0.779015
1   0.246376	0.375225
1   0.645741	0.822321
1   0.692312	0.429731
1   0.132786	0.86523
1   0.7322	0.040651
1   0.116581	0.004852
1   0.255898	0.273446
1   0.697592	0.345927
1   0.64391	0.776025
1   0.515183	0.63213
1   0.029664	0.530808
1   0.651082	0.101138
1   0.210089	0.185858
1   0.146397	0.355174
1   0.485672	0.277718
1   0.873928	0.856075
1   0.587512	0.240699
1   0.300455	0.340617
1   0.926298	0.336039
1   0.310984	0.376751
1   0.136143	0.320963
1   0.171514	0.136845
1   0.786523	0.523606
1   0.047792	0.321299
1   0.943236	0.890652
1   0.302377	0.543565
1   0.252815	0.470077
1   0.014435	0.279244
