0.376232	0.504196
0.489151	0.499954
0.663137	0.493423
0.072756	0.515702
0.465682	0.5009
0.518143	0.498764
0.624226	0.494949
0.025513	0.517563
0.539476	0.497909
0.071139	0.515854
0.338115	0.505783
0.057711	0.516068
0.85696	0.486221
0.981994	0.481185
0.803186	0.48793
0.690054	0.492569
0.303812	0.507157
0.339518	0.505814
0.443831	0.501419
0.398541	0.503616
0.286294	0.507859
0.376415	0.503922
0.681143	0.492416
0.876919	0.485
0.481429	0.500565
0.758965	0.490127
0.432508	0.502457
0.31605	0.506851
0.9888	0.481491
0.879788	0.485611
0.420911	0.502976
0.021455	0.518052
0.664754	0.492843
0.463363	0.501389
0.029481	0.5168
0.828547	0.487625
0.873745	0.484939
0.059938	0.515641
0.946806	0.48323
0.158177	0.512986
0.260262	0.50914
0.363689	0.504105
0.156987	0.513047
0.190985	0.511765
0.947356	0.48207
0.817682	0.486953
0.629261	0.495254
0.279733	0.507218
0.178686	0.512284
0.776513	0.489731
0.413343	0.503433
0.687185	0.491836
0.444838	0.500961
0.015076	0.517167
0.339396	0.504929
0.524216	0.499283
0.610797	0.496017
0.763451	0.488907
0.568529	0.496261
0.847926	0.485702
0.923704	0.482833
0.011353	0.518693
0.65865	0.494278
0.839076	0.487472
0.269539	0.508988
0.047884	0.515824
0.858333	0.485244
0.045045	0.515915
0.416669	0.503464
0.865871	0.484939
0.543901	0.498672
0.18128	0.510758
0.196631	0.510178
0.320048	0.507126
0.136723	0.514054
0.735038	0.491501
0.003449	0.517411
0.234657	0.508683
0.920469	0.482803
0.985137	0.482101
0.734245	0.489822
0.455061	0.502182
0.963897	0.482986
0.197089	0.511917
0.967864	0.480911
0.063967	0.516953
0.598682	0.494827
0.165044	0.511185
0.166387	0.513108
0.868587	0.486618
0.256386	0.50972
0.658498	0.494552
0.314005	0.505509
0.664205	0.492294
0.142094	0.514084
0.064211	0.514908
0.673879	0.491897
0.739769	0.491562
0.096927	0.515824
0.479446	0.499222
